# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
hui guo 	回國	c=5 d=0.8624 t=12715
hui lai 	回來	c=6 d=0.122606 t=12715
hui lai 	會來	c=2 d=1.81465 t=10839
hui qu 	回去	c=7 d=0.455034 t=12715
hui se 	晦澀	c=1 d=0.00142298 t=12715
hui su 	回溯	c=1 d=0.00101791 t=12715
hui xin 	回信	c=1 d=1.85634e-13 t=12715
hui yi tang 	回一趟	c=1 d=1.20425e-10 t=12715
hui ying 	回應	c=1 d=4.95725e-10 t=12715
hui you 	會有	c=1 d=1 t=9599
huo 	或	c=2 d=0.00318026 t=12715
huo che piao 	火車票	c=1 d=1 t=12162
huo dao fu kuan 	貨到付款	c=1 d=4.15136e-11 t=12715
huo de 	獲得	c=1 d=1.74734e-07 t=12715
huo dong 	活動	c=3 d=9.24222e-06 t=12715
huo luo 	活絡	c=0 d=0.0225373 t=12715
huo zhe 	或者	c=9 d=0.313897 t=12715
huo zu yi 	或足以	c=1 d=0.00562801 t=12715
in 	∈	c=1 d=0.100968 t=11059
ji 	即	c=18 d=0.606205 t=12715
ji 	寄	c=4 d=5.24667e-06 t=12715
ji 	幾	c=1 d=5.09453e-12 t=12715
ji 	驥	c=1 d=0.918512 t=12715
ji ben 	基本	c=11 d=0.0139008 t=12715
ji bu zhu 	記不住	c=1 d=1 t=12689
ji cheng 	繼承	c=3 d=1.51202 t=11106
ji chu 	基礎	c=2 d=0.128735 t=12715
ji chu qu 	寄出去	c=1 d=0.83527 t=12715
ji de 	記得	c=3 d=0.978322 t=12715
ji dian 	幾點	c=5 d=0.196504 t=12715
ji dian qu 	幾點去	c=1 d=1.78695e-06 t=12715
ji ding 	既定	c=1 d=0.0086517 t=12715
ji eh 	即誒	c=1 d=1 t=9516
ji fen zhong 	幾分鐘	c=1 d=6.29976e-06 t=12715
ji ge 	幾個	c=4 d=0.281274 t=12715
ji gou 	機構	c=1 d=9.56974e-13 t=12715
ji hao 	幾號	c=1 d=1 t=11812
ji hua 	計劃	c=5 d=1.96613 t=12715
ji huo 	激活	c=2 d=0.000277414 t=12715
ji ji 	積極	c=2 d=0.948002 t=12715
ji jiang 	即將	c=2 d=0.715338 t=12715
ji ke 	即可	c=1 d=0.235746 t=12715
ji ke 	飢渴	c=1 d=1.95152e-13 t=12715
ji lei 	積累	c=1 d=2.21136e-13 t=12715
ji lu 	記錄	c=8 d=1.23077 t=12715
ji ni nan 	寄呢喃	c=1 d=1.50759e-06 t=12715
ji nian 	幾年	c=1 d=1 t=11235
ji ning 	濟寧	c=1 d=0.0095616 t=12715
ji piao 	機票	c=11 d=0.00998369 t=12715
ji ran 	既然	c=1 d=0.210136 t=12715
ji shi 	即使	c=3 d=0.847894 t=12715
ji shi 	即時	c=2 d=0.0159859 t=12715
ji shu 	技術	c=2 d=2.34346e-07 t=12715
ji si 	祭祀	c=0 d=0.00393602 t=12715
ji suan chu 	計算出	c=1 d=1 t=10590
ji suan ji 	計算機	c=1 d=1 t=11991
ji tang lu 	幾趟路	c=0 d=0.0349938 t=12715
ji tao 	幾套	c=2 d=7.4107e-05 t=12715
ji tian 	幾天	c=2 d=1.17464 t=11718
ji tuan 	集團	c=0 d=0.0142987 t=12715
ji tuan nian 	集團年	c=4 d=0.196781 t=12715
ji xie 	機械	c=1 d=0.000466617 t=12715
ji xu 	繼續	c=4 d=0.964257 t=12715
ji yu 	基於	c=2 d=0.031746 t=12715
ji yue 	幾月	c=1 d=1 t=11179
ji yue fen 	幾月份	c=1 d=4.11999e-10 t=12715
ji zhou 	幾周	c=1 d=9.73288e-06 t=12715
ji zhu 	記住	c=1 d=1.60577e-13 t=12715
jia 	佳	c=1 d=3.19156e-06 t=12715
jia 	假	c=1 d=0.0187793 t=12715
jia 	加	c=5 d=0.985112 t=12715
jia 	嘉	c=1 d=3.20756e-06 t=12715
jia 	夾	c=1 d=1 t=9679
jia 	家	c=3 d=0.991366 t=12424
jia an lin 	甲胺磷	c=0 d=0.1 t=10012
jia an lin si ke da fa lan ke si ji dou fu 	甲胺磷斯柯達法蘭克四季豆腐	c=1 d=1 t=10013
jia cheng 	加成	c=0 d=0.0327915 t=12715
jia de 	假的	c=1 d=1.19783e-06 t=12715
jia ge 	價格	c=1 d=1 t=10274
jia le 	加了	c=1 d=1.54654e-12 t=12715
jia li 	家裏	c=1 d=0.360595 t=12715
jia li mian 	家裏面	c=1 d=1 t=11447
jia qian 	價錢	c=5 d=9.90723e-07 t=12715
jia qian 	加錢	c=1 d=1.0762e-11 t=12715
jia qiang 	加強	c=1 d=1.17695e-05 t=12715
jia ru 	假如	c=7 d=0.287941 t=12715
jia ru 	加入	c=1 d=6.79503e-14 t=12715
jia shang 	加上	c=1 d=1 t=9112
jia she 	假設	c=12 d=1.64277 t=12715
jia ting 	家庭	c=3 d=1.85578 t=12715
jia wei 	價位	c=0 d=0.1 t=10142
jia wei duan 	價位段	c=1 d=1 t=10143
jia yi 	加以	c=1 d=1 t=9108
jia zai 	加載	c=2 d=0.0251135 t=12715
jian 	件	c=2 d=4.85976e-11 t=12715
jian 	建	c=1 d=2.7061e-06 t=12715
jian ce 	檢測	c=1 d=4.6437e-06 t=12715
jian cha 	檢查	c=12 d=0.167485 t=12715
jian dan 	簡單	c=2 d=0.162837 t=12715
jian duan 	間斷	c=1 d=2.03012e-07 t=12715
jian guo 	見過	c=3 d=1.00269 t=11592
jian hu 	監護	c=1 d=1.38473e-06 t=12715
jian kong 	監控	c=1 d=0.0953692 t=12715
jian li 	建立	c=2 d=0.000128435 t=12715
jian pan 	鍵盤	c=4 d=0.284641 t=12715
jian rui 	尖銳	c=1 d=2.59372e-07 t=12715
jian shen 	健身	c=12 d=1.34201 t=12715
jian shen la 	健身啦	c=1 d=1.29782e-08 t=12715
jian shen ne 	健身呢	c=1 d=1 t=11754
jian shi 	堅實	c=1 d=2.43411e-10 t=12715
jian shi 	見識	c=2 d=7.05625e-09 t=12715
jian ti zhong wen 	簡體中文	c=1 d=0.755784 t=12715
jian yan 	檢驗	c=2 d=0.00222796 t=12715
jian zhu 	建築	c=1 d=0.718924 t=12715
jiang 	將	c=2 d=1.00315 t=10076
jiang 	獎	c=1 d=0.722527 t=12715
jiang 	講	c=5 d=0.606924 t=12715
jiang de 	講的	c=1 d=4.24619e-12 t=12715
jiang dong fu lao 	江東父老	c=0 d=0.025924 t=12715
jiang jin 	將近	c=1 d=3.47471e-06 t=12715
jiang jiu 	講究	c=1 d=3.89885e-08 t=12715
jiang pi 	講屁	c=1 d=6.34988e-11 t=12715
jiang su sheng 	江蘇省	c=2 d=5.71829e-06 t=12715
jiang wen 	降溫	c=1 d=0.0057417 t=12715
jiang xue jin 	獎學金	c=1 d=9.66592e-13 t=12715
jiang yin shi 	江陰市	c=2 d=5.74695e-06 t=12715
jiang yu 	將於	c=2 d=2.06215e-11 t=12715
jiao 	交	c=10 d=1.43169 t=12715
jiao 	叫	c=7 d=0.647577 t=12715
jiao 	嬌	c=1 d=0.941765 t=12715
jiao du 	角度	c=6 d=0.116417 t=12715
jiao huan 	交換	c=1 d=0.00449405 t=12715
jiao jiao 	教教	c=0 d=0.1 t=12636
jiao jiao jiao 	交教教	c=1 d=1 t=12637
jiao tong 	交通	c=1 d=1 t=10159
jiao xing 	僥倖	c=1 d=1.73863e-07 t=12715
jiao yi 	交易	c=1 d=1 t=12699
jiao you 	交友	c=0 d=6.59084e-09 t=12715
jiao you quan 	交友圈	c=1 d=6.62388e-08 t=12715
jiao yu 	教育	c=0 d=5.07048e-12 t=12715
jiao yu shang dian 	教育商店	c=1 d=5.0959e-11 t=12715
jiao zuo 	叫做	c=3 d=0.0588055 t=12715
jie 	節	c=2 d=0.759572 t=12715
jie chu 	接觸	c=1 d=1.20093e-07 t=12715
jie da 	解答	c=2 d=0.00160569 t=12715
jie duan 	階段	c=1 d=8.03202e-11 t=12715
jie fang jun 	解放軍	c=0 d=0.0257947 t=12715
jie ge 	借個	c=1 d=2.61935e-05 t=12715
jie gou 	結構	c=13 d=1.5448 t=12715
jie gou 	解構	c=3 d=2.09595 t=9594
jie guo 	結果	c=16 d=0.73918 t=12715
jie he 	結合	c=6 d=0.0158936 t=12715
jie jie 	姐姐	c=1 d=0.449329 t=12715
jie jin 	接近	c=1 d=0.00213348 t=12715
jie jue 	解決	c=8 d=1.02396 t=12715
jie liu fa 	節流閥	c=0 d=0.026054 t=12715
jie lun 	結論	c=18 d=2.23482 t=12715
jie ri 	節日	c=2 d=0.446236 t=12715
jie shao 	介紹	c=2 d=0.0118337 t=12715
jie shi 	結識	c=1 d=6.05377e-08 t=12715
jie shi 	解釋	c=4 d=0.158818 t=12715
jie shu 	結束	c=4 d=0.821701 t=12715
jie tu 	截圖	c=3 d=5.35873e-05 t=12715
jie wo 	借我	c=1 d=1 t=11300
jie xi 	解析	c=1 d=1 t=9169
jie xia lai 	接下來	c=2 d=7.22773e-05 t=12715
jie ya 	解壓	c=1 d=0.165299 t=12715
jin 	今	c=1 d=3.76603e-12 t=12715
jin 	進	c=4 d=0.00631505 t=12715
jin bao 	勁爆	c=1 d=1.67969e-13 t=12715
jin bu 	進步	c=2 d=2.12679e-07 t=12715
jin guan 	儘管	c=1 d=1 t=9539
jin ji 	緊急	c=1 d=0.00806679 t=12715
jin jin 	僅僅	c=1 d=0.0596059 t=12715
jin ka 	金卡	c=0 d=0.1 t=8980
jin ka jiu shi dai fu 	金卡就是代付	c=1 d=1 t=8981
jin kuai 	儘快	c=2 d=0.00140882 t=12715
jin kuan 	進款	c=1 d=1.97012e-07 t=12715
jin lai 	進來	c=4 d=0.273898 t=12715
jin ming 	今明	c=1 d=1.00148 t=11360
jin ming tian 	今明天	c=1 d=1 t=10519
jin ming tian 	進明天	c=1 d=1 t=10517
jin nian 	今年	c=5 d=0.55688 t=12715
jin qiang yu 	金槍魚	c=5 d=1.38002e-06 t=12715
jin qu 	進去	c=2 d=1.89758e-06 t=12715
jin ri 	今日	c=1 d=1 t=12356
jin rong 	金融	c=1 d=0.204948 t=12715
jin rong cheng 	金融城	c=1 d=5.33136e-13 t=12715
jin ru 	進入	c=2 d=0.000445265 t=12715
jin ti 	今體	c=1 d=1 t=12283
jin ti na 	進提拿	c=1 d=2.39553e-13 t=12715
jin tian 	今天	c=42 d=3.00771 t=12715
jin tian wo ming yue 	今天我明月	c=1 d=0.308819 t=12715
jin wan 	今晚	c=4 d=1.86129 t=12620
jin xing 	進行	c=10 d=0.0789171 t=12715
jing chang 	經常	c=1 d=0.367879 t=12715
jing dian 	經典	c=4 d=2.15682e-08 t=12715
jing jie 	境界	c=1 d=7.77319e-08 t=12715
jing li 	精力	c=1 d=1 t=9862
jing que 	精確	c=1 d=3.67117e-06 t=12715
jing ran 	竟然	c=4 d=0.546074 t=12715
jiu 	就	c=95 d=3.27613 t=12715
jiu 	舊	c=1 d=2.81654e-06 t=12715
jiu dian 	酒店	c=1 d=1.70009e-08 t=12715
jiu ei guo 	就誒過	c=1 d=0.0323033 t=12715
jiu ei guo ou 	就誒過偶	c=1 d=0.324652 t=12715
jiu gou le 	就夠了	c=1 d=1 t=12385
jiu hao 	就好	c=1 d=4.7752e-11 t=12715
jiu hui 	就會	c=2 d=0.357007 t=12715
jiu ke yi 	就可以	c=3 d=0.0886725 t=12715
jiu qu 	就去	c=1 d=1 t=12074
jiu shi 	就是	c=52 d=1.0715 t=12715
jiu shuo 	就說	c=1 d=1 t=12096
jiu suan 	就算	c=1 d=3.1696e-13 t=12715
jiu xiang shi 	就像是	c=1 d=1 t=9990
jiu yao 	就要	c=4 d=0.319819 t=12715
jiu ye 	就業	c=1 d=4.20394e-12 t=12715
jiu you 	就有	c=1 d=0.215456 t=12715
jiu zai 	就在	c=2 d=1.10659e-12 t=12715
ju 	巨	c=1 d=0.205975 t=12715
ju 	據	c=1 d=1 t=11681
ju qi lai 	舉起來	c=1 d=1 t=10427
ju ti 	具體	c=15 d=0.973741 t=12715
ju xian 	侷限	c=0 d=7.21152e-09 t=12715
ju xian zai 	侷限再	c=1 d=7.24768e-08 t=12715
ju you 	具有	c=2 d=6.41042e-05 t=12715
juan 	娟	c=1 d=2.67918e-06 t=12715
jue 	覺	c=0 d=0.0165299 t=12715
jue de 	覺得	c=8 d=0.000388394 t=12715
jue ding 	決定	c=11 d=0.887124 t=12715
jue shi 	爵士	c=2 d=2.45191e-13 t=12715
jue ti 	決堤	c=1 d=8.74311e-09 t=12715
jue wei 	爵位	c=1 d=1.30814e-13 t=12715
jue zhu 	攫住	c=1 d=1.77375e-07 t=12715
jun 	均	c=1 d=1 t=8859
jun heng 	均衡	c=1 d=1 t=10114
jun shi de li 	軍事地理	c=0 d=0.0463742 t=12715
jun tan 	均攤	c=1 d=1.00552e-06 t=12715
jun xu 	軍需	c=1 d=1.87404e-07 t=12715
jun yun 	均勻	c=4 d=3.41656 t=10283
ka 	卡	c=3 d=0.0192492 t=12715
ka lu li 	卡路里	c=1 d=0.102284 t=12715
ka ta er 	卡塔爾	c=1 d=5.34425e-12 t=12715
kai 	鍇	c=3 d=0.491963 t=12715
kai 	開	c=1 d=1 t=12436
kai che 	開車	c=1 d=1 t=11516
kai de 	開的	c=0 d=1.02832e-06 t=12715
kai de a 	開的啊	c=1 d=1.03347e-05 t=12715
kai fa 	開發	c=2 d=0.291592 t=12715
kai fa zhe 	開發者	c=0 d=0.0628135 t=12715
kai fa zhe kai fa 	開發者開發	c=1 d=0.631283 t=12715
kai fang 	開放	c=1 d=1 t=11680
kai qi 	開啓	c=1 d=2.60629e-05 t=12715
kai sa 	凱撒	c=0 d=0.019398 t=12715
kai shi 	開始	c=7 d=0.767206 t=12715
kai tong 	開通	c=1 d=0.97531 t=12715
kai tuo 	開拓	c=0 d=0.1 t=11847
kai tuo yi xia 	開拓一下	c=1 d=1 t=11848
kai wan xiao 	開玩笑	c=1 d=2.96912e-09 t=12715
kai xin 	開心	c=1 d=1.65783e-06 t=12715
kai yuan 	開源	c=6 d=2.20399 t=12715
kan 	看	c=40 d=2.09164 t=12715
kan bu dong 	看不懂	c=1 d=2.04064e-09 t=12715
kan cheng 	堪稱	c=1 d=0.0185924 t=12715
kan cheng 	看成	c=1 d=0.0187793 t=12715
kan dao 	看到	c=10 d=0.0223175 t=12715
kan dian ying 	看電影	c=1 d=0.358796 t=12715
kan fang 	看房	c=10 d=2.45838 t=12363
kan guo 	看過	c=0 d=0.000625109 t=12715
kan guo fang 	看過房	c=1 d=1 t=11701
kan guo le 	看過了	c=1 d=2.74084e-09 t=12715
kan hao de 	看好的	c=1 d=5.68941e-13 t=12715
kan kan 	看看	c=11 d=0.00154159 t=12715
kan kan fang 	看看房	c=1 d=1 t=11371
kan lai 	看來	c=1 d=3.43301e-11 t=12715
kan lai kan qu 	看來看去	c=1 d=7.21275e-10 t=12715
kan le 	看了	c=2 d=0.231079 t=12715
kan le kan 	看了看	c=0 d=0.1 t=8983
kan ma 	看嘛	c=1 d=0.814647 t=12715
kan qi 	看起	c=1 d=1 t=9863
kan qi lai 	看起來	c=6 d=9.10914e-06 t=12715
kan shang qu 	看上去	c=1 d=1 t=10253
kan shu 	看書	c=1 d=1 t=9698
kan xia 	看下	c=3 d=5.41259e-05 t=12715
kan yi xi 	看依稀	c=1 d=3.34881e-13 t=12715
kan yi xia 	看一下	c=5 d=0.472367 t=12715
kan zhe 	看着	c=1 d=1 t=10240
kan zhong 	看中	c=0 d=0.1 t=9739
kan zhong de fang 	看中的房	c=1 d=1 t=9740
kan zuo 	看作	c=1 d=2.097e-06 t=12715
kang 	抗	c=1 d=2.72717e-09 t=12715
kao 	考	c=1 d=1 t=11483
kao lv 	考慮	c=18 d=0.540208 t=12715
kao shi 	考試	c=1 d=7.28212e-10 t=12715
kao shi de hua 	考試的話	c=1 d=5.9349e-10 t=12715
ke 	可	c=4 d=0.691811 t=12715
ke 	課	c=6 d=5.20524e-13 t=12715
ke cheng 	課程	c=1 d=1.05507e-13 t=12715
ke ji 	科技	c=2 d=2.0758 t=9268
ke kao 	可靠	c=1 d=1 t=10767
ke neng 	可能	c=20 d=1.16778 t=12715
ke neng ne ge 	可能呢個	c=1 d=8.96597e-11 t=12715
ke neng xing 	可能性	c=2 d=0.817208 t=12715
ke pa 	可怕	c=3 d=0.0136014 t=12715
ke pa de 	可怕的	c=1 d=0.00535353 t=12715
ke ting 	客廳	c=1 d=1.06292e-12 t=12715
ke xi 	可惜	c=2 d=0.733447 t=12715
ke xuan 	可選	c=1 d=1.32061e-07 t=12715
ke xuan de 	可選的	c=1 d=6.5286e-14 t=12715
ke yi 	刻意	c=4 d=6.10681e-06 t=12715
ke yi 	可以	c=161 d=5.13808 t=12715
ke yi ba 	可以吧	c=1 d=9.23745e-09 t=12715
ke yi zi ji 	可以自己	c=1 d=0.923116 t=12715
ke yong 	可用	c=3 d=0.139457 t=12715
ke zhi 	可知	c=1 d=1 t=10910
ken 	肯	c=1 d=1 t=11448
ken de ji 	肯德基	c=0 d=0.0247833 t=12715
ken ding 	肯定	c=9 d=0.0397173 t=12715
keng 	坑	c=2 d=2.13665e-11 t=12715
kong ge 	空格	c=1 d=3.39711e-05 t=12715
kong shou dao 	空手道	c=0 d=0.0506985 t=12715
kong zhe 	空着	c=1 d=1 t=11550
kou 	口	c=1 d=1.19185e-06 t=12715
kou 	釦	c=2 d=1.65117e-08 t=12715
kou kuan 	扣款	c=1 d=4.06777e-07 t=12715
kou shui 	扣稅	c=1 d=1 t=9624
kou tu 	摳圖	c=1 d=5.70316e-12 t=12715
kou wei 	口味	c=3 d=2.73664e-06 t=12715
ku 	哭	c=1 d=1 t=9206
kua 	跨	c=1 d=0.402524 t=12715
kuai 	塊	c=5 d=1.06537e-06 t=12715
kuai 	快	c=9 d=0.939766 t=12715
kuai de hua 	快的話	c=1 d=1 t=10790
kuai di 	快遞	c=1 d=1 t=10382
kuai ji 	會計	c=0 d=0.1 t=11486
kuai ji zheng 	會計正	c=1 d=1 t=11487
kuai jin lai 	快進來	c=0 d=0.0250324 t=12715
kuai su 	快速	c=3 d=0.145877 t=12715
kuang 	框	c=1 d=0.141564 t=12715
kuang jia 	框架	c=2 d=0.821818 t=12715
kun kun 	困困	c=1 d=5.46446e-09 t=12715
kuo hao 	括號	c=4 d=2.9969 t=9668
la 	啦	c=13 d=0.952918 t=12715
la 	拉	c=2 d=1.99005 t=10402
la feng 	拉風	c=0 d=0.0444592 t=12715
la hei 	拉黑	c=1 d=0.904837 t=12715
la kai 	拉開	c=0 d=0.0722982 t=12715
la kai dian shi ju fa la sheng jiang dong fu lao 	拉開電視劇法拉盛江東父老	c=1 d=0.26054 t=12715
la kai jun shi de li fan 	拉開軍事地理反	c=1 d=0.263158 t=12715
la kai jun shi de li fan kang jun a si dun li kun jin fa 	拉開軍事地理反抗軍阿斯頓力困筋乏	c=1 d=0.202909 t=12715
la kong shou dao fan kang jun la se dui kuai jin lai 	啦空手道反抗軍垃圾堆快進來	c=1 d=0.251579 t=12715
la kong shou dao fu lan ke sa jiu feng 	啦空手道弗蘭克撒酒瘋	c=1 d=0.257947 t=12715
la se 	垃圾	c=0 d=1.42666e-05 t=12715
la se da fa lao sao de fa lv jie 	垃圾大發牢騷的法律界	c=1 d=0.000143382 t=12715
la se dui 	垃圾堆	c=0 d=0.0510864 t=12715
la se dui jie liu fa shou jiang dian li 	垃圾堆節流閥授獎典禮	c=1 d=0.261846 t=12715
lai 	來	c=35 d=1.54742 t=12715
lai bu lai 	來不來	c=1 d=4.83568e-12 t=12715
lai de ji 	來得及	c=1 d=3.64591e-13 t=12715
lai guo 	來過	c=1 d=0.869358 t=12715
lai jiang 	來講	c=1 d=0.458406 t=12715
lai kan 	來看	c=0 d=0.1 t=11376
lai shi pin 	來視頻	c=1 d=1.17775e-13 t=12715
lai shi xian 	來實現	c=1 d=0.390628 t=12715
lai shuo 	來說	c=5 d=0.957071 t=12715
lai zhe 	來着	c=1 d=8.15063e-07 t=12715
lan mei 	藍莓	c=2 d=1.87372 t=12175
lan se 	藍色	c=1 d=0.000825105 t=12715
lan ya 	藍牙	c=4 d=2.88459e-05 t=12715
lao 	老	c=3 d=0.25924 t=12715
lao ba 	老爸	c=1 d=3.45021e-11 t=12715
lao dan bai 	酪蛋白	c=1 d=1 t=12152
lao shi 	老師	c=1 d=0.554327 t=12715
lao shi 	老是	c=2 d=0.551563 t=12715
lao tian 	老天	c=1 d=0.88692 t=12715
le 	了	c=278 d=5.90858 t=12715
le kan le kan 	了看了看	c=1 d=1 t=8984
le ma 	了嗎	c=1 d=5.68844e-11 t=12715
le yi ge 	了一個	c=1 d=0.666977 t=12715
lei 	磊	c=1 d=2.35826e-05 t=12715
lei en 	雷恩	c=0 d=0.0496585 t=12715
lei si 	類似	c=3 d=0.111917 t=12715
lei ting 	磊婷	c=12 d=0.308773 t=12715
leng 	冷	c=1 d=0.382893 t=12715
li 	力	c=2 d=2.8467e-06 t=12715
li 	李	c=4 d=1.40586 t=12715
li 	裏	c=29 d=1.59287 t=12715
li 	離	c=5 d=7.18211e-06 t=12715
li ba shan xi 	力拔山兮	c=1 d=2.95431e-09 t=12715
li bai 	禮拜	c=0 d=4.71628e-13 t=12715
li bai ji 	禮拜幾	c=1 d=4.73992e-12 t=12715
li bai wu 	禮拜五	c=1 d=1 t=11391
li chu chu 	李楚楚	c=2 d=1.56933 t=12715
li du 	力度	c=2 d=1.99501 t=11142
li fang ti 	立方體	c=1 d=0.677057 t=12715
li gong ke 	理工科	c=1 d=1 t=11982
li gong lei 	理工類	c=1 d=1 t=12055
li hai 	厲害	c=6 d=0.900325 t=12715
li jia 	離家	c=2 d=1.06266 t=11830
li jie 	理解	c=7 d=0.302752 t=12715
li kai jia 	離開家	c=0 d=0.0383151 t=12715
li kun jin fa 	力困筋乏	c=0 d=0.0456003 t=12715
li li 	麗麗	c=1 d=1.34126e-13 t=12715
li lun 	理論	c=4 d=0.931271 t=12715
li mian 	裏面	c=19 d=1.6663 t=12715
li qiu 	力求	c=1 d=0.0263839 t=12715
li run 	利潤	c=1 d=3.50963e-06 t=12715
li shi 	歷史	c=1 d=0.00530026 t=12715
li wu pu 	利物浦	c=2 d=1.4958 t=12715
li wu pu da xue 	利物浦大學	c=1 d=0.348192 t=12715
li yong 	利用	c=2 d=0.376737 t=12715
li yong 	李泳	c=2 d=2.85477e-09 t=12715
li zhe yu 	李哲宇	c=1 d=0.839457 t=12715
li zi 	例子	c=3 d=0.0146253 t=12715
lian 	練	c=6 d=0.562705 t=12715
lian 	臉	c=1 d=1 t=11306
lian 	連	c=0 d=1.78264e-08 t=12715
lian qi lai 	練起來	c=1 d=0.00190171 t=12715
lian suo 	連鎖	c=1 d=0.353455 t=12715
lian xi 	聯繫	c=9 d=0.676535 t=12715
lian xi qi lai 	聯繫起來	c=1 d=1 t=10079
lian xi ren 	聯繫人	c=1 d=0.697676 t=12715
liang 	亮	c=1 d=1 t=8988
liang 	量	c=1 d=0.103312 t=12715
liang bian 	兩邊	c=2 d=1.03508 t=10426
liang ce 	兩側	c=4 d=3.87302 t=9772
liang ceng 	兩層	c=1 d=1 t=10236
liang ci 	兩次	c=1 d=0.00891518 t=12715
liang dai 	兩袋	c=2 d=1.86936 t=12172
liang ge 	兩個	c=20 d=0.625471 t=12715
liang hao 	良好	c=1 d=1 t=10088
liang jian 	兩件	c=1 d=2.04099e-11 t=12715
liang lun 	兩輪	c=1 d=0.582748 t=12715
liang nian 	兩年	c=1 d=0.228779 t=12715
liang tao 	兩套	c=2 d=0.0589926 t=12715
liang tian 	兩天	c=1 d=0.00565622 t=12715
liang tiao 	兩條	c=1 d=2.67964e-08 t=12715
liang tong 	兩桶	c=1 d=0.329559 t=12715
liang wan 	兩萬	c=1 d=2.46212e-12 t=12715
liang yang 	兩樣	c=1 d=1 t=9496
liang zhong 	兩種	c=1 d=1 t=8959
liao 	了	c=1 d=4.77439e-09 t=12715
liao 	聊	c=1 d=4.75058e-09 t=12715
liao fa 	療法	c=0 d=0.0298197 t=12715
liao jie 	瞭解	c=5 d=0.532592 t=12715
liao tian 	聊天	c=1 d=1.44572e-13 t=12715
lie 	咧	c=1 d=4.57689e-12 t=12715
lie chu 	列出	c=1 d=1 t=10885
lie chu lai 	列出來	c=1 d=5.96668e-14 t=12715
lin shi 	臨時	c=1 d=0.0195457 t=12715
lin yu 	淋浴	c=1 d=1 t=9426
ling huo 	靈活	c=1 d=3.69083e-10 t=12715
ling ren 	令人	c=1 d=0.208045 t=12715
ling shou 	零售	c=2 d=3.66469e-07 t=12715
ling sui 	零碎	c=1 d=1 t=9889
ling wai 	另外	c=6 d=0.0121552 t=12715
ling wai yi 	另外懿	c=1 d=1 t=9427
ling xing 	零星	c=1 d=1.90236e-07 t=12715
liu 	留	c=5 d=1.81138 t=12715
liu chang du 	流暢度	c=2 d=0.715803 t=12715
liu cheng 	流程	c=1 d=0.00729913 t=12715
liu dao 	留到	c=1 d=2.04593e-10 t=12715
liu han 	流汗	c=1 d=8.76275e-06 t=12715
liu lan 	瀏覽	c=3 d=0.763395 t=12715
liu lan qi 	瀏覽器	c=1 d=0.843665 t=12715
liu min zhi 	劉敏之	c=1 d=3.05954e-09 t=12715
liu xia lai 	留下來	c=1 d=1 t=11872
liu xue sheng 	留學生	c=4 d=0.00501661 t=12715
liu xue sheng piao 	留學生票	c=1 d=1.11453e-11 t=12715
liu yue 	六月	c=1 d=1 t=11433
lou 	樓	c=2 d=1.44307 t=12715
lu 	鹿	c=1 d=0.283654 t=12715
lu hao jie 	陆豪杰	c=1 d=0.852144 t=12715
lu na 	璐娜	c=1 d=0.447088 t=12715
lu qu 	錄取	c=4 d=3.68654e-11 t=12715
lu xiao ye 	陸曉燁	c=1 d=0.00514361 t=12715
lu ye kai 	陆烨凯	c=1 d=0.980199 t=12715
lu yi hong 	卢一宏	c=1 d=0.946485 t=12715
luan 	亂	c=1 d=8.07091e-09 t=12715
luan 	卵	c=1 d=0.937067 t=12715
lun dun 	倫敦	c=8 d=0.743885 t=12715
lun dun kan 	倫敦看	c=1 d=0.346455 t=12715
lun wen 	論文	c=1 d=1 t=10357
lun zheng 	論證	c=3 d=0.496585 t=12715
luo ji 	邏輯	c=10 d=0.000189773 t=12715
luo jiao 	落腳	c=1 d=1.88863e-10 t=12715
lv se 	綠色	c=1 d=0.000854495 t=12715
lve 	略	c=1 d=1 t=10261
lve you 	略有	c=1 d=1 t=10181
ma 	嗎	c=83 d=4.52279 t=12715
ma 	嘛	c=4 d=0.932393 t=12715
ma 	媽	c=14 d=0.704688 t=12715
ma che 	馬車	c=1 d=2.86603e-05 t=12715
ma fan 	麻煩	c=1 d=2.65388e-12 t=12715
ma lai xi ya 	馬來西亞	c=1 d=1 t=11511
ma shan 	馬山	c=1 d=1 t=12088
ma shang 	馬上	c=5 d=0.304539 t=12715
ma shang qu 	馬上去	c=1 d=3.0057e-06 t=12715
ma tong 	馬桶	c=1 d=1 t=9350
mac 	Mac	c=2 d=0.803113 t=12715
mac dian nao 	Mac電腦	c=1 d=0.341298 t=12715
mai 	買	c=11 d=3.32152e-06 t=12715
mai 	賣	c=5 d=2.20183e-05 t=12715
mai de 	買的	c=1 d=3.80194e-06 t=12715
mai diao 	賣掉	c=1 d=3.27235e-06 t=12715
mai gei 	賣給	c=0 d=0.0860708 t=12715
mai gei ni 	賣給你	c=1 d=0.865021 t=12715
mai hao 	買好	c=2 d=1.8505e-11 t=12715
mai le 	買了	c=2 d=0.0658748 t=12715
mai yi fu 	買衣服	c=1 d=0.357007 t=12715
mai yi ge 	買一個	c=1 d=2.99794e-05 t=12715
